File Format,File Size,Dataset Size,Simple1 Query,Simple2 Query,Complex1 Query,Complex2 Query
CSV,<100Mb,Small,3.1,6.4,5.6,11.1
GZip,<100Mb,Small,3,6.1,5,10.9
Parquet,<100Mb,Small,3.4,6.6,5.2,13
CSV,100Mb-1Gb,Small,2.3,3.7,3.5,7.2
GZip,100Mb-1Gb,Small,2.3,3.7,3,7.3
Parquet,100Mb-1Gb,Small,2.3,3.7,2.9,7.3
CSV,<100Mb,Medium,5.1,27.1,1.7,9.9
GZip,<100Mb,Medium,5.2,27.5,1.7,10.1
Parquet,<100Mb,Medium,5.3,29,1.9,11
CSV,100Mb-1Gb,Medium,1.5,8.1,1.2,3.2
GZip,100Mb-1Gb,Medium,1.1,3.7,1.1,1.8
Parquet,100Mb-1Gb,Medium,1,2.3,1,1.4
